,year,category,date_awarded,prize_amount,prize_amount_adjusted,top_motivation,laureate_id,motivation,portion
607,1985,Physiology or Medicine,1985-10-14,1800000,4860820,,432,for their discoveries concerning the regulation of cholesterol metabolism,1/2
608,1985,Physiology or Medicine,1985-10-14,1800000,4860820,,433,for their discoveries concerning the regulation of cholesterol metabolism,1/2
609,1986,Chemistry,1986-10-15,2000000,5182514,,264,for their contributions concerning the dynamics of chemical elementary processes,1/3
610,1986,Chemistry,1986-10-15,2000000,5182514,,265,for their contributions concerning the dynamics of chemical elementary processes,1/3
611,1986,Chemistry,1986-10-15,2000000,5182514,,266,for their contributions concerning the dynamics of chemical elementary processes,1/3
612,1986,Economic Sciences,1986-10-16,2000000,5182514,,700,for his development of the contractual and constitutional bases for the theory of economic and political decision-making,1
613,1986,Literature,1986-10-16,2000000,5182514,,663,who in a wide cultural perspective and with poetic overtones fashions the drama of existence,1
614,1986,Peace,1986-10-14,2000000,5182514,,548,"for being a messenger to mankind: his message is one of peace, atonement and dignity",1
615,1986,Physics,1986-10-15,2000000,5182514,,127,"for his fundamental work in electron optics, and for the design of the first electron microscope",1/2
616,1986,Physics,1986-10-15,2000000,5182514,,128,for their design of the scanning tunneling microscope,1/4
617,1986,Physics,1986-10-15,2000000,5182514,,129,for their design of the scanning tunneling microscope,1/4
618,1986,Physiology or Medicine,1986-10-13,2000000,5182514,,434,for their discoveries of growth factors,1/2
619,1986,Physiology or Medicine,1986-10-13,2000000,5182514,,435,for their discoveries of growth factors,1/2
620,1987,Chemistry,1987-10-14,2175000,5405582,,267,for their development and use of molecules with structure-specific interactions of high selectivity,1/3
621,1987,Chemistry,1987-10-14,2175000,5405582,,268,for their development and use of molecules with structure-specific interactions of high selectivity,1/3
622,1987,Chemistry,1987-10-14,2175000,5405582,,269,for their development and use of molecules with structure-specific interactions of high selectivity,1/3
623,1987,Economic Sciences,1987-10-21,2175000,5405582,,701,for his contributions to the theory of economic growth,1
624,1987,Literature,1987-10-22,2175000,5405582,,664,"for an all-embracing authorship, imbued with clarity of thought and poetic intensity",1
625,1987,Peace,1987-10-13,2175000,5405582,,549,for his work for lasting peace in Central America,1
626,1987,Physics,1987-10-14,2175000,5405582,,130,for their important break-through in the discovery of superconductivity in ceramic materials,1/2
627,1987,Physics,1987-10-14,2175000,5405582,,131,for their important break-through in the discovery of superconductivity in ceramic materials,1/2
628,1987,Physiology or Medicine,1987-10-12,2175000,5405582,,436,for his discovery of the genetic principle for generation of antibody diversity,1
629,1988,Chemistry,1988-10-19,2500000,5874628,,270,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3
630,1988,Chemistry,1988-10-19,2500000,5874628,,271,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3
631,1988,Chemistry,1988-10-19,2500000,5874628,,272,for the determination of the three-dimensional structure of a photosynthetic reaction centre,1/3
632,1988,Economic Sciences,1988-10-18,2500000,5874628,,702,for his pioneering contributions to the theory of markets and efficient utilization of resources,1
633,1988,Literature,1988-10-13,2500000,5874628,,665,"who, through works rich in nuance - now clear-sightedly realistic, now evocatively ambiguous - has formed an Arabian narrative art that applies to all mankind",1
634,1988,Peace,1988-09-29,2500000,5874628,,550,for preventing armed clashes and creating conditions for negotiations,1
635,1988,Physics,1988-10-19,2500000,5874628,,132,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3
636,1988,Physics,1988-10-19,2500000,5874628,,133,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3
637,1988,Physics,1988-10-19,2500000,5874628,,134,for the neutrino beam method and the demonstration of the doublet structure of the leptons through the discovery of the muon neutrino,1/3
638,1988,Physiology or Medicine,1988-10-17,2500000,5874628,,437,for their discoveries of important principles for drug treatment,1/3
639,1988,Physiology or Medicine,1988-10-17,2500000,5874628,,438,for their discoveries of important principles for drug treatment,1/3
640,1988,Physiology or Medicine,1988-10-17,2500000,5874628,,439,for their discoveries of important principles for drug treatment,1/3
641,1989,Chemistry,1989-10-12,3000000,6629077,,273,for their discovery of catalytic properties of RNA,1/2
642,1989,Chemistry,1989-10-12,3000000,6629077,,274,for their discovery of catalytic properties of RNA,1/2
643,1989,Economic Sciences,1989-10-11,3000000,6629077,,703,for his clarification of the probability theory foundations of econometrics and his analyses of simultaneous economic structures,1
644,1989,Literature,1989-10-09,3000000,6629077,,666,"for a rich and intensive prose, which with restrained compassion forms a challenging vision of man's vulnerability",1
645,1989,Peace,1989-10-05,3000000,6629077,,551,for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people,1
646,1989,Physics,1989-10-12,3000000,6629077,,135,for the invention of the separated oscillatory fields method and its use in the hydrogen maser and other atomic clocks,1/2
647,1989,Physics,1989-10-12,3000000,6629077,,136,for the development of the ion trap technique,1/4
648,1989,Physics,1989-10-12,3000000,6629077,,137,for the development of the ion trap technique,1/4
649,1989,Physiology or Medicine,1989-10-09,3000000,6629077,,440,for their discovery of the cellular origin of retroviral oncogenes,1/2
650,1989,Physiology or Medicine,1989-10-09,3000000,6629077,,441,for their discovery of the cellular origin of retroviral oncogenes,1/2
651,1990,Chemistry,1990-10-17,4000000,8003376,,275,for his development of the theory and methodology of organic synthesis,1
652,1990,Economic Sciences,1990-10-16,4000000,8003376,,704,for their pioneering work in the theory of financial economics,1/3
653,1990,Economic Sciences,1990-10-16,4000000,8003376,,705,for their pioneering work in the theory of financial economics,1/3
654,1990,Economic Sciences,1990-10-16,4000000,8003376,,706,for their pioneering work in the theory of financial economics,1/3
655,1990,Literature,1990-10-11,4000000,8003376,,667,"for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity",1
656,1990,Peace,1990-10-15,4000000,8003376,,552,for the leading role he played in the radical changes in East-West relations,1
657,1990,Physics,1990-10-17,4000000,8003376,,138,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3
658,1990,Physics,1990-10-17,4000000,8003376,,139,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3
659,1990,Physics,1990-10-17,4000000,8003376,,140,"for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics",1/3
660,1990,Physiology or Medicine,1990-10-08,4000000,8003376,,442,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2
661,1990,Physiology or Medicine,1990-10-08,4000000,8003376,,443,for their discoveries concerning organ and cell transplantation in the treatment of human disease,1/2
662,1991,Chemistry,1991-10-16,6000000,10968389,,276,for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy,1
663,1991,Economic Sciences,1991-10-15,6000000,10968389,,707,for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy,1
664,1991,Literature,1991-10-03,6000000,10968389,,668,who through her magnificent epic writing has - in the words of Alfred Nobel - been of very great benefit to humanity,1
665,1991,Peace,1991-10-14,6000000,10968389,,553,for her non-violent struggle for democracy and human rights,1
666,1991,Physics,1991-10-16,6000000,10968389,,141,"for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers",1
667,1991,Physiology or Medicine,1991-10-07,6000000,10968389,,444,for their discoveries concerning the function of single ion channels in cells,1/2
668,1991,Physiology or Medicine,1991-10-07,6000000,10968389,,445,for their discoveries concerning the function of single ion channels in cells,1/2
669,1992,Chemistry,1992-10-14,6500000,11613791,,277,for his contributions to the theory of electron transfer reactions in chemical systems,1
670,1992,Economic Sciences,1992-10-13,6500000,11613791,,708,"for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour",1
671,1992,Literature,1992-10-08,6500000,11613791,,669,"for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment",1
672,1992,Peace,1992-10-16,6500000,11613791,,554,for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples,1
673,1992,Physics,1992-10-14,6500000,11613791,,142,"for his invention and development of particle detectors, in particular the multiwire proportional chamber",1
674,1992,Physiology or Medicine,1992-10-12,6500000,11613791,,446,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,1/2
675,1992,Physiology or Medicine,1992-10-12,6500000,11613791,,447,for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism,1/2
676,1993,Chemistry,1993-10-13,6700000,11436789,for contributions to the developments of methods within DNA-based chemistry,278,for his invention of the polymerase chain reaction (PCR) method,1/2
677,1993,Chemistry,1993-10-13,6700000,11436789,for contributions to the developments of methods within DNA-based chemistry,279,"for his fundamental contributions to the establishment of oligonucleotide-based, site-directed mutagenesis and its development for protein studies",1/2
678,1993,Economic Sciences,1993-10-12,6700000,11436789,,709,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,1/2
679,1993,Economic Sciences,1993-10-12,6700000,11436789,,710,for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change,1/2
680,1993,Literature,1993-10-07,6700000,11436789,,670,"who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality",1
681,1993,Peace,1993-10-15,6700000,11436789,,555,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",1/2
682,1993,Peace,1993-10-15,6700000,11436789,,556,"for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa",1/2
683,1993,Physics,1993-10-13,6700000,11436789,,143,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",1/2
684,1993,Physics,1993-10-13,6700000,11436789,,144,"for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation",1/2
685,1993,Physiology or Medicine,1993-10-11,6700000,11436789,,448,for their discoveries of split genes,1/2
686,1993,Physiology or Medicine,1993-10-11,6700000,11436789,,449,for their discoveries of split genes,1/2
687,1994,Chemistry,1994-10-12,7000000,11696265,,280,for his contribution to carbocation chemistry,1
688,1994,Economic Sciences,1994-10-11,7000000,11696265,,711,for their pioneering analysis of equilibria in the theory of non-cooperative games,1/3
689,1994,Economic Sciences,1994-10-11,7000000,11696265,,712,for their pioneering analysis of equilibria in the theory of non-cooperative games,1/3
690,1994,Economic Sciences,1994-10-11,7000000,11696265,,713,for their pioneering analysis of equilibria in the theory of non-cooperative games,1/3
691,1994,Literature,1994-10-13,7000000,11696265,,671,"who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today",1
692,1994,Peace,1994-10-14,7000000,11696265,,557,for their efforts to create peace in the Middle East,1/3
693,1994,Peace,1994-10-14,7000000,11696265,,558,for their efforts to create peace in the Middle East,1/3
694,1994,Peace,1994-10-14,7000000,11696265,,559,for their efforts to create peace in the Middle East,1/3
695,1994,Physics,1994-10-12,7000000,11696265,for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter,145,for the development of neutron spectroscopy,1/2
696,1994,Physics,1994-10-12,7000000,11696265,for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter,146,for the development of the neutron diffraction technique,1/2
697,1994,Physiology or Medicine,1994-10-10,7000000,11696265,,450,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,1/2
698,1994,Physiology or Medicine,1994-10-10,7000000,11696265,,451,for their discovery of G-proteins and the role of these proteins in signal transduction in cells,1/2
699,1995,Chemistry,1995-10-11,7200000,11732784,,281,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",1/3
700,1995,Chemistry,1995-10-11,7200000,11732784,,282,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",1/3
701,1995,Chemistry,1995-10-11,7200000,11732784,,283,"for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone",1/3
702,1995,Economic Sciences,1995-10-10,7200000,11732784,,714,"for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy",1
703,1995,Literature,1995-10-05,7200000,11732784,,672,"for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past",1
704,1995,Peace,1995-10-13,7200000,11732784,,560,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",1/2
705,1995,Peace,1995-10-13,7200000,11732784,,561,"for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms",1/2
706,1995,Physics,1995-10-11,7200000,11732784,for pioneering experimental contributions to lepton physics,147,for the discovery of the tau lepton,1/2
707,1995,Physics,1995-10-11,7200000,11732784,for pioneering experimental contributions to lepton physics,148,for the detection of the neutrino,1/2
708,1995,Physiology or Medicine,1995-10-09,7200000,11732784,,452,for their discoveries concerning the genetic control of early embryonic development,1/3
709,1995,Physiology or Medicine,1995-10-09,7200000,11732784,,453,for their discoveries concerning the genetic control of early embryonic development,1/3
710,1995,Physiology or Medicine,1995-10-09,7200000,11732784,,454,for their discoveries concerning the genetic control of early embryonic development,1/3
711,1996,Chemistry,1996-10-09,7400000,12000958,,284,for their discovery of fullerenes,1/3
712,1996,Chemistry,1996-10-09,7400000,12000958,,285,for their discovery of fullerenes,1/3
713,1996,Chemistry,1996-10-09,7400000,12000958,,286,for their discovery of fullerenes,1/3
714,1996,Economic Sciences,1996-10-08,7400000,12000958,,715,for their fundamental contributions to the economic theory of incentives under asymmetric information,1/2
715,1996,Economic Sciences,1996-10-08,7400000,12000958,,716,for their fundamental contributions to the economic theory of incentives under asymmetric information,1/2
716,1996,Literature,1996-10-03,7400000,12000958,,673,for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality,1
717,1996,Peace,1996-10-11,7400000,12000958,,562,for their work towards a just and peaceful solution to the conflict in East Timor,1/2
718,1996,Peace,1996-10-11,7400000,12000958,,563,for their work towards a just and peaceful solution to the conflict in East Timor,1/2
719,1996,Physics,1996-10-09,7400000,12000958,,149,for their discovery of superfluidity in helium-3,1/3
720,1996,Physics,1996-10-09,7400000,12000958,,150,for their discovery of superfluidity in helium-3,1/3
721,1996,Physics,1996-10-09,7400000,12000958,,151,for their discovery of superfluidity in helium-3,1/3
722,1996,Physiology or Medicine,1996-10-07,7400000,12000958,,455,for their discoveries concerning the specificity of the cell mediated immune defence,1/2
723,1996,Physiology or Medicine,1996-10-07,7400000,12000958,,456,for their discoveries concerning the specificity of the cell mediated immune defence,1/2
724,1997,Chemistry,1997-10-15,7500000,12105174,,287,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),1/4
725,1997,Chemistry,1997-10-15,7500000,12105174,,288,for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP),1/4
726,1997,Chemistry,1997-10-15,7500000,12105174,,289,"for the first discovery of an ion-transporting enzyme, Na+, K+ -ATPase",1/2
727,1997,Economic Sciences,1997-10-14,7500000,12105174,,717,for a new method to determine the value of derivatives,1/2
728,1997,Economic Sciences,1997-10-14,7500000,12105174,,718,for a new method to determine the value of derivatives,1/2
729,1997,Literature,1997-10-09,7500000,12105174,,674,who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden,1
730,1997,Peace,1997-10-10,7500000,12105174,,564,for their work for the banning and clearing of anti-personnel mines,1/2
731,1997,Peace,1997-10-10,7500000,12105174,,565,for their work for the banning and clearing of anti-personnel mines,1/2
732,1997,Physics,1997-10-15,7500000,12105174,,152,for development of methods to cool and trap atoms with laser light,1/3
733,1997,Physics,1997-10-15,7500000,12105174,,153,for development of methods to cool and trap atoms with laser light,1/3
734,1997,Physics,1997-10-15,7500000,12105174,,154,for development of methods to cool and trap atoms with laser light,1/3
735,1997,Physiology or Medicine,1997-10-06,7500000,12105174,,457,for his discovery of Prions - a new biological principle of infection,1
736,1998,Chemistry,1998-10-13,7600000,12283299,,290,for his development of the density-functional theory,1/2
737,1998,Chemistry,1998-10-13,7600000,12283299,,291,for his development of computational methods in quantum chemistry,1/2
738,1998,Economic Sciences,1998-10-14,7600000,12283299,,719,for his contributions to welfare economics,1
739,1998,Literature,1998-10-08,7600000,12283299,,675,"who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality",1
740,1998,Peace,1998-10-16,7600000,12283299,,566,for their efforts to find a peaceful solution to the conflict in Northern Ireland,1/2
741,1998,Peace,1998-10-16,7600000,12283299,,567,for their efforts to find a peaceful solution to the conflict in Northern Ireland,1/2
742,1998,Physics,1998-10-13,7600000,12283299,,155,for their discovery of a new form of quantum fluid with fractionally charged excitations,1/3
743,1998,Physics,1998-10-13,7600000,12283299,,156,for their discovery of a new form of quantum fluid with fractionally charged excitations,1/3
744,1998,Physics,1998-10-13,7600000,12283299,,157,for their discovery of a new form of quantum fluid with fractionally charged excitations,1/3
745,1998,Physiology or Medicine,1998-10-12,7600000,12283299,,458,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,1/3
746,1998,Physiology or Medicine,1998-10-12,7600000,12283299,,459,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,1/3
747,1998,Physiology or Medicine,1998-10-12,7600000,12283299,,460,for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system,1/3
748,1999,Chemistry,1999-10-12,7900000,12707531,,292,for his studies of the transition states of chemical reactions using femtosecond spectroscopy,1
749,1999,Economic Sciences,1999-10-13,7900000,12707531,,720,for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas,1
750,1999,Literature,1999-09-30,7900000,12707531,,676,whose frolicsome black fables portray the forgotten face of history,1
751,1999,Peace,1999-10-15,7900000,12707531,,568,in recognition of the organisation's pioneering humanitarian work on several continents,1
752,1999,Physics,1999-10-12,7900000,12707531,,158,for elucidating the quantum structure of electroweak interactions in physics,1/2
753,1999,Physics,1999-10-12,7900000,12707531,,159,for elucidating the quantum structure of electroweak interactions in physics,1/2
754,1999,Physiology or Medicine,1999-10-11,7900000,12707531,,461,for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell,1
755,2000,Chemistry,2000-10-10,9000000,14331095,,729,for the discovery and development of conductive polymers,1/3
756,2000,Chemistry,2000-10-10,9000000,14331095,,730,for the discovery and development of conductive polymers,1/3
757,2000,Chemistry,2000-10-10,9000000,14331095,,731,for the discovery and development of conductive polymers,1/3
758,2000,Economic Sciences,2000-10-11,9000000,14331095,,732,for his development of theory and methods for analyzing selective samples,1/2
759,2000,Economic Sciences,2000-10-11,9000000,14331095,,733,for his development of theory and methods for analyzing discrete choice,1/2
760,2000,Literature,2000-10-12,9000000,14331095,,734,"for an œuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama",1
761,2000,Peace,2000-10-13,9000000,14331095,,725,"for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular",1
762,2000,Physics,2000-10-10,9000000,14331095,for basic work on information and communication technology,726,for developing semiconductor heterostructures used in high-speed- and opto-electronics,1/4
763,2000,Physics,2000-10-10,9000000,14331095,for basic work on information and communication technology,727,for developing semiconductor heterostructures used in high-speed- and opto-electronics,1/4
764,2000,Physics,2000-10-10,9000000,14331095,for basic work on information and communication technology,728,for his part in the invention of the integrated circuit,1/2
765,2000,Physiology or Medicine,2000-10-09,9000000,14331095,,722,for their discoveries concerning signal transduction in the nervous system,1/3
766,2000,Physiology or Medicine,2000-10-09,9000000,14331095,,723,for their discoveries concerning signal transduction in the nervous system,1/3
767,2000,Physiology or Medicine,2000-10-09,9000000,14331095,,724,for their discoveries concerning signal transduction in the nervous system,1/3
768,2001,Chemistry,2001-10-10,10000000,15547541,,741,for their work on chirally catalysed hydrogenation reactions,1/4
769,2001,Chemistry,2001-10-10,10000000,15547541,,742,for their work on chirally catalysed hydrogenation reactions,1/4
770,2001,Chemistry,2001-10-10,10000000,15547541,,743,for his work on chirally catalysed oxidation reactions,1/2
771,2001,Economic Sciences,2001-10-10,10000000,15547541,,744,for their analyses of markets with asymmetric information,1/3
772,2001,Economic Sciences,2001-10-10,10000000,15547541,,745,for their analyses of markets with asymmetric information,1/3
773,2001,Economic Sciences,2001-10-10,10000000,15547541,,746,for their analyses of markets with asymmetric information,1/3
774,2001,Literature,2001-10-11,10000000,15547541,,747,for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories,1
775,2001,Peace,2001-10-12,10000000,15547541,,748,for their work for a better organized and more peaceful world,1/2
776,2001,Peace,2001-10-12,10000000,15547541,,749,for their work for a better organized and more peaceful world,1/2
777,2001,Physics,2001-10-09,10000000,15547541,,738,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",1/3
778,2001,Physics,2001-10-09,10000000,15547541,,739,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",1/3
779,2001,Physics,2001-10-09,10000000,15547541,,740,"for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates",1/3
780,2001,Physiology or Medicine,2001-10-08,10000000,15547541,,735,for their discoveries of key regulators of the cell cycle,1/3
781,2001,Physiology or Medicine,2001-10-08,10000000,15547541,,736,for their discoveries of key regulators of the cell cycle,1/3
782,2001,Physiology or Medicine,2001-10-08,10000000,15547541,,737,for their discoveries of key regulators of the cell cycle,1/3
783,2002,Chemistry,2002-10-09,10000000,15218228,for the development of methods for identification and structure analyses of biological macromolecules,756,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,1/4
784,2002,Chemistry,2002-10-09,10000000,15218228,for the development of methods for identification and structure analyses of biological macromolecules,757,for their development of soft desorption ionisation methods for mass spectrometric analyses of biological macromolecules,1/4
785,2002,Chemistry,2002-10-09,10000000,15218228,for the development of methods for identification and structure analyses of biological macromolecules,758,for his development of nuclear magnetic resonance spectroscopy for determining the three-dimensional structure of biological macromolecules in solution,1/2
786,2002,Economic Sciences,2002-10-09,10000000,15218228,,759,"for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty",1/2
787,2002,Economic Sciences,2002-10-09,10000000,15218228,,760,"for having established laboratory experiments as a tool in empirical economic analysis, especially in the study of alternative market mechanisms",1/2
788,2002,Literature,2002-10-10,10000000,15218228,,761,for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history,1
789,2002,Peace,2002-10-11,10000000,15218228,,762,"for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development",1
790,2002,Physics,2002-10-08,10000000,15218228,,753,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",1/4
791,2002,Physics,2002-10-08,10000000,15218228,,754,"for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos",1/4
792,2002,Physics,2002-10-08,10000000,15218228,,755,"for pioneering contributions to astrophysics, which have led to the discovery of cosmic X-ray sources",1/2
793,2002,Physiology or Medicine,2002-10-07,10000000,15218228,,750,for their discoveries concerning genetic regulation of organ development and programmed cell death,1/3
794,2002,Physiology or Medicine,2002-10-07,10000000,15218228,,751,for their discoveries concerning genetic regulation of organ development and programmed cell death,1/3
795,2002,Physiology or Medicine,2002-10-07,10000000,15218228,,752,for their discoveries concerning genetic regulation of organ development and programmed cell death,1/3
796,2003,Chemistry,2003-10-08,10000000,14930730,for discoveries concerning channels in cell membranes,769,for the discovery of water channels,1/2
797,2003,Chemistry,2003-10-08,10000000,14930730,for discoveries concerning channels in cell membranes,770,for structural and mechanistic studies of ion channels,1/2
798,2003,Economic Sciences,2003-10-08,10000000,14930730,,771,for methods of analyzing economic time series with time-varying volatility (ARCH),1/2
799,2003,Economic Sciences,2003-10-08,10000000,14930730,,772,for methods of analyzing economic time series with common trends (cointegration),1/2
800,2003,Literature,2003-10-02,10000000,14930730,,763,who in innumerable guises portrays the surprising involvement of the outsider,1
801,2003,Peace,2003-10-10,10000000,14930730,,773,for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children,1
802,2003,Physics,2003-10-07,10000000,14930730,,766,for pioneering contributions to the theory of superconductors and superfluids,1/3
803,2003,Physics,2003-10-07,10000000,14930730,,767,for pioneering contributions to the theory of superconductors and superfluids,1/3
804,2003,Physics,2003-10-07,10000000,14930730,,768,for pioneering contributions to the theory of superconductors and superfluids,1/3
805,2003,Physiology or Medicine,2003-10-06,10000000,14930730,,764,for their discoveries concerning magnetic resonance imaging,1/2
806,2003,Physiology or Medicine,2003-10-06,10000000,14930730,,765,for their discoveries concerning magnetic resonance imaging,1/2
807,2004,Chemistry,2004-10-06,10000000,14874529,,779,for the discovery of ubiquitin-mediated protein degradation,1/3
808,2004,Chemistry,2004-10-06,10000000,14874529,,780,for the discovery of ubiquitin-mediated protein degradation,1/3
809,2004,Chemistry,2004-10-06,10000000,14874529,,781,for the discovery of ubiquitin-mediated protein degradation,1/3
810,2004,Economic Sciences,2004-10-11,10000000,14874529,,786,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,1/2
811,2004,Economic Sciences,2004-10-11,10000000,14874529,,787,for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles,1/2
812,2004,Literature,2004-10-07,10000000,14874529,,782,for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power,1
813,2004,Peace,2004-10-08,10000000,14874529,,783,"for her contribution to sustainable development, democracy and peace",1
814,2004,Physics,2004-10-05,10000000,14874529,,776,for the discovery of asymptotic freedom in the theory of the strong interaction,1/3
815,2004,Physics,2004-10-05,10000000,14874529,,777,for the discovery of asymptotic freedom in the theory of the strong interaction,1/3
816,2004,Physics,2004-10-05,10000000,14874529,,778,for the discovery of asymptotic freedom in the theory of the strong interaction,1/3
817,2004,Physiology or Medicine,2004-10-04,10000000,14874529,,774,for their discoveries of odorant receptors and the organization of the olfactory system,1/2
818,2004,Physiology or Medicine,2004-10-04,10000000,14874529,,775,for their discoveries of odorant receptors and the organization of the olfactory system,1/2
819,2005,Chemistry,2005-10-05,10000000,14809494,,794,for the development of the metathesis method in organic synthesis,1/3
820,2005,Chemistry,2005-10-05,10000000,14809494,,795,for the development of the metathesis method in organic synthesis,1/3
821,2005,Chemistry,2005-10-05,10000000,14809494,,796,for the development of the metathesis method in organic synthesis,1/3
822,2005,Economic Sciences,2005-10-10,10000000,14809494,,799,for having enhanced our understanding of conflict and cooperation through game-theory analysis,1/2
823,2005,Economic Sciences,2005-10-10,10000000,14809494,,800,for having enhanced our understanding of conflict and cooperation through game-theory analysis,1/2
824,2005,Literature,2005-10-13,10000000,14809494,,801,who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms,1
825,2005,Peace,2005-10-07,10000000,14809494,,797,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,1/2
826,2005,Peace,2005-10-07,10000000,14809494,,798,for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way,1/2
827,2005,Physics,2005-10-04,10000000,14809494,,791,for his contribution to the quantum theory of optical coherence,1/2
828,2005,Physics,2005-10-04,10000000,14809494,,792,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",1/4
829,2005,Physics,2005-10-04,10000000,14809494,,793,"for their contributions to the development of laser-based precision spectroscopy, including the optical frequency comb technique",1/4
830,2005,Physiology or Medicine,2005-10-03,10000000,14809494,,789,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,1/2
831,2005,Physiology or Medicine,2005-10-03,10000000,14809494,,790,for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease,1/2
832,2006,Chemistry,2006-10-04,10000000,14608749,,806,for his studies of the molecular basis of eukaryotic transcription,1
